Timestamp,Event,UE_ID,SUCI,Authentication_Result,Registration_Status,gNB_IP,DNN,S_NSSAI
T+0.000s,Registration,UE_001,SUCI_001,,Success,127.0.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE
T+10.240s,Registration,UE_002,SUCI_002,,Success,127.0.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE
T+21.252s,Registration,UE_003,SUCI_003,,Success,127.0.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE
T+32.269s,Registration,UE_004,SUCI_004,,Success,127.0.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE
T+42.544s,Registration,UE_005,SUCI_005,,Success,127.0.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE
T+53.551s,Registration,UE_006,SUCI_006,,Success,127.0.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE
T+64.695s,Registration,UE_007,SUCI_007,,Success,127.0.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE
T+74.834s,Registration,UE_008,SUCI_008,,Success,127.0.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE
T+85.848s,Registration,UE_009,SUCI_009,,Success,127.0.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE
T+96.864s,Registration,UE_010,SUCI_010,,Success,127.0.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE
