Request_ID,Timestamp,Event,UE_ID,SUCI,Authentication_Result,Registration_Status,Cause_Code,gNB_IP,DNN,S_NSSAI,Attack_Detected,Attack_Type,Decision,Severity,Confidence,Risk_Score,Reasons
REQ000001,T+0.000s,Registration,UE_001,SUCI_001,,Success,SUCCESS,127.0.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE,False,NONE,ALLOW,NORMAL,0.4,0.0,Registration validated successfully.
REQ000002,T+0.718s,Registration,UE_001,SUCI_001,,Success,SUCCESS,127.0.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE,True,REPLAY,TAG,SUSPICIOUS,0.9,0.0,Replay-like behaviour detected.
REQ000003,T+1.436s,Registration,UE_001,SUCI_001,,Success,SUCCESS,127.0.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE,True,REPLAY,TAG,SUSPICIOUS,0.9,0.0,Replay-like behaviour detected.
REQ000004,T+2.148s,Registration,UE_001,SUCI_001,,Success,SUCCESS,127.0.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE,True,REPLAY,TAG,SUSPICIOUS,0.9,0.0,Replay-like behaviour detected.
REQ000005,T+2.862s,Registration,UE_001,SUCI_001,,Success,SUCCESS,127.0.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE,True,REGISTRATION_FLOOD,BLOCK,MALICIOUS,0.9,0.0,Registration flooding detected.
REQ000006,T+3.572s,Registration,UE_001,SUCI_001,,Success,SUCCESS,127.0.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE,True,REGISTRATION_FLOOD,BLOCK,MALICIOUS,0.9,0.0,Registration flooding detected.
REQ000007,T+4.286s,Registration,UE_001,SUCI_001,,Success,SUCCESS,127.0.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE,True,REGISTRATION_FLOOD,BLOCK,MALICIOUS,0.9,0.0,Registration flooding detected.
REQ000008,T+5.002s,Registration,UE_001,SUCI_001,,Success,SUCCESS,127.0.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE,True,REGISTRATION_FLOOD,BLOCK,MALICIOUS,0.9,0.0,Registration flooding detected.
REQ000009,T+5.721s,Registration,UE_001,SUCI_001,,Success,SUCCESS,127.0.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE,True,REGISTRATION_FLOOD,BLOCK,MALICIOUS,0.9,0.0,Registration flooding detected.
REQ000010,T+-1970.264s,Registration,UE_001,SUCI_001,,Success,SUCCESS,127.0.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE,False,NONE,ALLOW,NORMAL,0.4,0.0,Registration validated successfully.
REQ000011,T+-1967.248s,Registration,UE_001,SUCI_001,,Success,SUCCESS,127.0.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE,True,DUPLICATE_REGISTRATION,TAG,SUSPICIOUS,0.7,0.0,Duplicate registration detected.
REQ000012,T+-1964.228s,Registration,UE_001,SUCI_001,,Success,SUCCESS,127.0.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE,True,DUPLICATE_REGISTRATION,TAG,SUSPICIOUS,0.7,0.0,Duplicate registration detected.
REQ000013,T+-1961.179s,Registration,UE_001,SUCI_001,,Success,SUCCESS,127.0.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE,True,DUPLICATE_REGISTRATION,TAG,SUSPICIOUS,0.7,0.0,Duplicate registration detected.
REQ000014,T+-1958.167s,Registration,UE_001,SUCI_001,,Success,SUCCESS,127.0.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE,True,DUPLICATE_REGISTRATION,TAG,SUSPICIOUS,0.7,0.0,Duplicate registration detected.
REQ000015,T+855.839s,Registration,,SUCI_002,,,UNKNOWN,127.0.xxx.xxx,,,True,INVALID_SUBSCRIBER,BLOCK,MALICIOUS,0.4,0.0,ue_id is empty. | dnn is empty. | snssai is empty. | Missing UE ID | Missing UE ID.
