Request_ID,Timestamp,Event,UE_ID,SUCI,Authentication_Result,Registration_Status,Cause_Code,gNB_IP,DNN,S_NSSAI
REQ000001,07/08 11:27:49.965,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,SUCCESS,127.0.0.1,internet,SST:1 SD:0x1
REQ000002,07/08 11:28:00.205,Registration,imsi-999700000000002,suci-0-999-70-0000-0-0-0000000002,,Success,SUCCESS,127.0.0.1,internet,SST:1 SD:0x1
REQ000003,07/08 11:28:11.217,Registration,imsi-999700000000003,suci-0-999-70-0000-0-0-0000000003,,Success,SUCCESS,127.0.0.1,internet,SST:1 SD:0x1
REQ000004,07/08 11:28:22.234,Registration,imsi-999700000000004,suci-0-999-70-0000-0-0-0000000004,,Success,SUCCESS,127.0.0.1,internet,SST:1 SD:0x1
REQ000005,07/08 11:28:32.509,Registration,imsi-999700000000005,suci-0-999-70-0000-0-0-0000000005,,Success,SUCCESS,127.0.0.1,internet,SST:1 SD:0x1
REQ000006,07/08 11:28:43.516,Registration,imsi-999700000000006,suci-0-999-70-0000-0-0-0000000006,,Success,SUCCESS,127.0.0.1,internet,SST:1 SD:0x1
REQ000007,07/08 11:28:54.660,Registration,imsi-999700000000007,suci-0-999-70-0000-0-0-0000000007,,Success,SUCCESS,127.0.0.1,internet,SST:1 SD:0x1
REQ000008,07/08 11:29:04.799,Registration,imsi-999700000000008,suci-0-999-70-0000-0-0-0000000008,,Success,SUCCESS,127.0.0.1,internet,SST:1 SD:0x1
REQ000009,07/08 11:29:15.813,Registration,imsi-999700000000009,suci-0-999-70-0000-0-0-0000000009,,Success,SUCCESS,127.0.0.1,internet,SST:1 SD:0x1
REQ000010,07/08 11:29:26.829,Registration,imsi-999700000000010,suci-0-999-70-0000-0-0-0000000010,,Success,SUCCESS,127.0.0.1,internet,SST:1 SD:0x1
