Timestamp,Event,UE_ID,SUCI,Authentication_Result,Registration_Status,gNB_IP,DNN,S_NSSAI
07/15 15:15:14.642,Registration,imsi-999700000000001,suci-0-999-70-0000-0-0-0000000001,,Success,127.0.0.1,internet,SST:1 SD:0x1
07/15 15:15:15.637,Registration,imsi-999700000000002,suci-0-999-70-0000-0-0-0000000002,,Success,127.0.0.1,internet,SST:1 SD:0x1
07/15 15:15:16.647,Registration,imsi-999700000000003,suci-0-999-70-0000-0-0-0000000003,,Success,127.0.0.1,internet,SST:1 SD:0x1
07/15 15:15:17.639,Registration,imsi-999700000000004,suci-0-999-70-0000-0-0-0000000004,,Success,127.0.0.1,internet,SST:1 SD:0x1
07/15 15:15:18.640,Registration,imsi-999700000000005,suci-0-999-70-0000-0-0-0000000005,,Success,127.0.0.1,internet,SST:1 SD:0x1
07/15 15:15:19.644,Registration,imsi-999700000000006,suci-0-999-70-0000-0-0-0000000006,,Success,127.0.0.1,internet,SST:1 SD:0x1
07/15 15:15:20.647,Registration,imsi-999700000000007,suci-0-999-70-0000-0-0-0000000007,,Success,127.0.0.1,internet,SST:1 SD:0x1
07/15 15:15:21.656,Registration,imsi-999700000000008,suci-0-999-70-0000-0-0-0000000008,,Success,127.0.0.1,internet,SST:1 SD:0x1
07/15 15:15:22.649,Registration,imsi-999700000000009,suci-0-999-70-0000-0-0-0000000009,,Success,127.0.0.1,internet,SST:1 SD:0x1
07/15 15:15:23.650,Registration,imsi-999700000000010,suci-0-999-70-0000-0-0-0000000010,,Success,127.0.0.1,internet,SST:1 SD:0x1
07/15 15:15:24.651,Registration,imsi-999700000000011,suci-0-999-70-0000-0-0-0000000011,,Success,127.0.0.1,internet,SST:1 SD:0x1
07/15 15:15:25.659,Registration,imsi-999700000000012,suci-0-999-70-0000-0-0-0000000012,,Success,127.0.0.1,internet,SST:1 SD:0x1
07/15 15:15:26.653,Registration,imsi-999700000000013,suci-0-999-70-0000-0-0-0000000013,,Success,127.0.0.1,internet,SST:1 SD:0x1
07/15 15:15:27.654,Registration,imsi-999700000000014,suci-0-999-70-0000-0-0-0000000014,,Success,127.0.0.1,internet,SST:1 SD:0x1
07/15 15:15:28.665,Registration,imsi-999700000000015,suci-0-999-70-0000-0-0-0000000015,,Success,127.0.0.1,internet,SST:1 SD:0x1
07/15 15:15:29.658,Registration,imsi-999700000000016,suci-0-999-70-0000-0-0-0000000016,,Success,127.0.0.1,internet,SST:1 SD:0x1
07/15 15:15:30.658,Registration,imsi-999700000000017,suci-0-999-70-0000-0-0-0000000017,,Success,127.0.0.1,internet,SST:1 SD:0x1
07/15 15:15:31.659,Registration,imsi-999700000000018,suci-0-999-70-0000-0-0-0000000018,,Success,127.0.0.1,internet,SST:1 SD:0x1
07/15 15:15:32.662,Registration,imsi-999700000000019,suci-0-999-70-0000-0-0-0000000019,,Success,127.0.0.1,internet,SST:1 SD:0x1
07/15 15:15:33.666,Registration,imsi-999700000000020,suci-0-999-70-0000-0-0-0000000020,,Success,127.0.0.1,internet,SST:1 SD:0x1
