Timestamp,Event,UE_ID,SUCI,Authentication_Result,Registration_Status,gNB_IP,DNN,S_NSSAI
T+0.000s,Registration,UE_001,SUCI_001,Failure,Success,192.168.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE
T+94.635s,Registration,UE_001,SUCI_001,,Success,192.168.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE
T+74474.658s,Registration,UE_001,SUCI_001,,Success,192.168.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE
T+74887.929s,Registration,UE_001,SUCI_001,,Success,192.168.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE
T+75049.959s,Registration,UE_001,SUCI_001,,Success,192.168.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE
T+75163.059s,Registration,UE_001,SUCI_001,,Success,192.168.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE
T+75252.954s,Registration,UE_001,SUCI_001,,Success,192.168.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE
T+75307.441s,Registration,UE_001,SUCI_001,,Success,192.168.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE
T+75332.481s,Registration,UE_001,SUCI_001,,Success,192.168.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE
T+75357.422s,Registration,UE_001,SUCI_001,,Success,192.168.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE
T+75424.868s,Registration,UE_001,SUCI_001,,Success,192.168.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE
T+75460.786s,Registration,UE_001,SUCI_001,,Success,192.168.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE
T+75561.741s,Registration,UE_001,SUCI_001,,Success,192.168.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE
T+75775.668s,Registration,UE_001,SUCI_001,,Success,192.168.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE
T+75806.553s,Registration,UE_001,SUCI_001,,Success,192.168.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE
T+75827.463s,Registration,UE_001,SUCI_001,,Success,192.168.xxx.xxx,DEFAULT_DNN,DEFAULT_SLICE
